127.0.0.1, 2014-11-18 22:08:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2014-11-18 22:13:17, GET, /, HTTP/1.1, 303, 0.000992
127.0.0.1, 2014-11-18 22:13:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.176784
127.0.0.1, 2014-11-18 22:13:19, GET, /admin/default/index, HTTP/1.1, 303, 0.074927
127.0.0.1, 2014-11-18 22:13:19, GET, /admin/default/site, HTTP/1.1, 200, 0.064740
127.0.0.1, 2014-11-18 22:13:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2014-11-18 22:13:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2014-11-18 22:13:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2014-11-18 22:13:23, GET, /inventory/default/index, HTTP/1.1, 500, 0.993934
127.0.0.1, 2014-11-18 22:13:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2014-11-18 22:13:25, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-13-22.d785f319-e4f2-40e2-9639-3697b7f1a53e, HTTP/1.1, 200, 0.060840
127.0.0.1, 2014-11-18 22:13:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2014-11-18 22:14:42, GET, /admin/default/site, HTTP/1.1, 200, 0.043490
127.0.0.1, 2014-11-18 22:14:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2014-11-18 22:14:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-11-18 22:14:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2014-11-18 22:14:43, GET, /inventory/default/index, HTTP/1.1, 500, 0.029703
127.0.0.1, 2014-11-18 22:14:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2014-11-18 22:14:45, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-14-43.06394b7b-288c-47a4-a413-2d9f2f76c464, HTTP/1.1, 200, 0.048056
127.0.0.1, 2014-11-18 22:14:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2014-11-18 22:14:58, GET, /admin/default/site, HTTP/1.1, 200, 0.045307
127.0.0.1, 2014-11-18 22:14:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2014-11-18 22:14:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2014-11-18 22:14:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000219
127.0.0.1, 2014-11-18 22:15:00, GET, /inventory/default/index, HTTP/1.1, 500, 0.027831
127.0.0.1, 2014-11-18 22:15:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2014-11-18 22:15:01, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-15-00.b642e7b2-284f-48f3-a8d9-a4a37698496d, HTTP/1.1, 200, 0.056724
127.0.0.1, 2014-11-18 22:15:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000341
127.0.0.1, 2014-11-18 22:15:09, GET, /admin/default/site, HTTP/1.1, 200, 0.049489
127.0.0.1, 2014-11-18 22:15:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2014-11-18 22:15:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2014-11-18 22:15:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/default/index, HTTP/1.1, 200, 0.039372
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/jquery.js, HTTP/1.1, 200, 0.000517
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001021
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/css/calendar.css, HTTP/1.1, 200, 0.000534
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/calendar.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/web2py.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/css/web2py.css, HTTP/1.1, 200, 0.000536
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000472
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000453
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2014-11-18 22:15:10, GET, /inventory/static/js/share.js, HTTP/1.1, 200, 0.000504
127.0.0.1, 2014-11-18 22:15:11, GET, /inventory/static/images/gplus-32.png, HTTP/1.1, 200, 0.000416
127.0.0.1, 2014-11-18 22:15:11, GET, /inventory/static/images/facebook.png, HTTP/1.1, 200, 0.000294
127.0.0.1, 2014-11-18 22:15:11, GET, /inventory/static/images/twitter.png, HTTP/1.1, 200, 0.002127
127.0.0.1, 2014-11-18 22:15:11, GET, /inventory/static/images/favicon.ico, HTTP/1.1, 200, 0.000620
127.0.0.1, 2014-11-18 22:15:13, GET, /admin/default/index, HTTP/1.1, 303, 0.007385
127.0.0.1, 2014-11-18 22:15:13, GET, /admin/default/site, HTTP/1.1, 200, 0.048856
127.0.0.1, 2014-11-18 22:15:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2014-11-18 22:15:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2014-11-18 22:15:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2014-11-18 22:15:14, GET, /inventory/default/index, HTTP/1.1, 200, 0.021345
127.0.0.1, 2014-11-18 22:15:16, GET, /admin/default/index, HTTP/1.1, 303, 0.004543
127.0.0.1, 2014-11-18 22:15:16, GET, /admin/default/site, HTTP/1.1, 200, 0.049293
127.0.0.1, 2014-11-18 22:15:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2014-11-18 22:15:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2014-11-18 22:15:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000376
127.0.0.1, 2014-11-18 22:15:18, GET, /admin/default/design/inventory, HTTP/1.1, 200, 0.092224
127.0.0.1, 2014-11-18 22:15:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2014-11-18 22:15:20, GET, /inventory/appadmin/index, HTTP/1.1, 200, 0.038166
127.0.0.1, 2014-11-18 22:15:22, GET, /admin/default/design/inventory, HTTP/1.1, 200, 0.099925
127.0.0.1, 2014-11-18 22:15:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2014-11-18 22:15:23, GET, /admin/default/peek/inventory/models/db.py, HTTP/1.1, 200, 0.036777
127.0.0.1, 2014-11-18 22:15:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/default/peek/inventory/models/db.py, HTTP/1.1, 200, 0.041538
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 304, 0.000425
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 304, 0.000330
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 304, 0.001437
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000600
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001092
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 304, 0.002017
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.004058
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 304, 0.001830
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000367
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000274
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000461
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-11-18 22:15:51, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2014-11-18 22:15:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2014-11-18 22:15:54, GET, /admin/default/site, HTTP/1.1, 200, 0.043296
127.0.0.1, 2014-11-18 22:15:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2014-11-18 22:15:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2014-11-18 22:15:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2014-11-18 22:15:56, GET, /admin/default/design/inventory, HTTP/1.1, 200, 0.096203
127.0.0.1, 2014-11-18 22:15:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2014-11-18 22:15:58, GET, /inventory/appadmin/index, HTTP/1.1, 500, 0.025792
127.0.0.1, 2014-11-18 22:15:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2014-11-18 22:16:00, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-15-58.de8b04ef-2a8c-4d77-916f-d6bed1185b3c, HTTP/1.1, 200, 0.047271
127.0.0.1, 2014-11-18 22:16:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2014-11-18 22:21:39, GET, /admin/default/site, HTTP/1.1, 200, 0.055938
127.0.0.1, 2014-11-18 22:21:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2014-11-18 22:21:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2014-11-18 22:21:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2014-11-18 22:21:40, GET, /inventory/default/index, HTTP/1.1, 500, 0.020425
127.0.0.1, 2014-11-18 22:21:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2014-11-18 22:21:42, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-21-40.4d7b8314-4a1f-4639-a63c-b798e85773a6, HTTP/1.1, 200, 0.045312
127.0.0.1, 2014-11-18 22:21:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2014-11-18 22:22:06, GET, /admin/default/site, HTTP/1.1, 200, 0.048694
127.0.0.1, 2014-11-18 22:22:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2014-11-18 22:22:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2014-11-18 22:22:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2014-11-18 22:22:08, GET, /inventory/default/index, HTTP/1.1, 500, 0.022368
127.0.0.1, 2014-11-18 22:22:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2014-11-18 22:22:10, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-22-08.c6f49d7c-dbfc-4e02-8abb-41b938c828c0, HTTP/1.1, 200, 0.077712
127.0.0.1, 2014-11-18 22:22:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2014-11-18 22:23:53, GET, /, HTTP/1.1, 303, 0.000407
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.020120
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001118
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001642
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000597
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001527
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002173
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000577
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000391
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000951
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001260
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000577
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001908
127.0.0.1, 2014-11-18 22:23:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000588
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/default/index, HTTP/1.1, 200, 0.031677
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.001271
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000496
